brand,Country,Value,Glossier,,
no makeup makeup,Saudi Arabia,29%,Glossier,,
Glossier You Eau de Parfum,Finland,12%,Glossier,,
no makeup makeup,Finland,36%,Glossier,,
no makeup makeup,Czechia,46%,Glossier,,
Glossier You Eau de Parfum,Thailand,14%,Glossier,,
glossier you,Thailand,15%,Glossier,,
no makeup makeup,Thailand,23%,Glossier,,
Glossier You Eau de Parfum,Germany,10%,Glossier,,
Glossier Balm Dotcom,Germany,1%,Glossier,,
glossier you,Germany,11%,Glossier,,
no makeup makeup,Germany,29%,Glossier,,
Glossier You Eau de Parfum,Spain,7%,Glossier,,
glossier you,Spain,7%,Glossier,,
no makeup makeup,Spain,39%,Glossier,,
Glossier You Eau de Parfum,Poland,5%,Glossier,,
glossier you,Poland,7%,Glossier,,
no makeup makeup,Poland,39%,Glossier,,
Glossier You Eau de Parfum,South Korea,8%,Glossier,,
glossier you,South Korea,8%,Glossier,,
no makeup makeup,South Korea,31%,Glossier,,
Glossier You Eau de Parfum,Italy,5%,Glossier,,
glossier you,Italy,8%,Glossier,,
no makeup makeup,Italy,28%,Glossier,,
Glossier You Eau de Parfum,Romania,10%,Glossier,,
glossier you,Romania,12%,Glossier,,
no makeup makeup,Romania,40%,Glossier,,
glossier you,Malaysia,6%,Glossier,,
no makeup makeup,Malaysia,55%,Glossier,,
Glossier You Eau de Parfum,Türkiye,20%,Glossier,,
glossier you,Türkiye,17%,Glossier,,
no makeup makeup,Türkiye,24%,Glossier,,
no makeup makeup,Peru,43%,Glossier,,
Glossier You Eau de Parfum,Ukraine,12%,Glossier,,
glossier you,Ukraine,14%,Glossier,,
no makeup makeup,Ukraine,33%,Glossier,,
no makeup makeup,Pakistan,65%,Glossier,,
Glossier You Eau de Parfum,South Africa,8%,Glossier,,
no makeup makeup,South Africa,68%,Glossier,,
glossier you,Taiwan,13%,Glossier,,
no makeup makeup,Taiwan,30%,Glossier,,
Glossier You Eau de Parfum,Vietnam,10%,Glossier,,
glossier you,Vietnam,9%,Glossier,,
no makeup makeup,Vietnam,34%,Glossier,,
no makeup makeup,Colombia,43%,Glossier,,
Glossier You Eau de Parfum,Russia,12%,Glossier,,
glossier you,Russia,15%,Glossier,,
no makeup makeup,Russia,25%,Glossier,,
Glossier You Eau de Parfum,India,5%,Glossier,,
Glossier Balm Dotcom,India,1%,Glossier,,
glossier you,India,5%,Glossier,,
no makeup makeup,India,56%,Glossier,,
glossier you,Argentina,14%,Glossier,,
no makeup makeup,Argentina,42%,Glossier,,
Glossier You Eau de Parfum,Russia,12%,Glossier,,
glossier you,Russia,15%,Glossier,,
no makeup makeup,Russia,25%,Glossier,,
Glossier You Eau de Parfum,India,5%,Glossier,,
Glossier Balm Dotcom,India,1%,Glossier,,
glossier you,India,5%,Glossier,,
no makeup makeup,India,56%,Glossier,,
glossier you,Argentina,14%,Glossier,,
no makeup makeup,Argentina,42%,Glossier,,
Glossier You Eau de Parfum,Indonesia,6%,Glossier,,
glossier you,Indonesia,7%,Glossier,,
no makeup makeup,Indonesia,57%,Glossier,,
Glossier You Eau de Parfum,Brazil,6%,Glossier,,
glossier you,Brazil,6%,Glossier,,
no makeup makeup,Brazil,36%,Glossier,,
Glossier You Eau de Parfum,Japan,6%,Glossier,,
glossier you,Japan,6%,Glossier,,
no makeup makeup,Japan,36%,Glossier,,
no makeup makeup,Iran,44%,Glossier,,
